Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2490000,0.03088439,0.018851511,0.026923496,5.1724484e-05,1.3622713,693.9473684210526,0.2830049534769435,0.2830049534769435,1.0
2500000,-0.016114064,0.024835195,0.024019651,5.0686882e-05,1.3620178,361.0,0.9999447643931489,0.9999447643931489,1.0
2510000,0.035887517,0.01943105,0.021736408,4.964687e-05,1.3619221,396.39130434782606,1.253027019175616,1.253027019175616,1.0
2520000,0.032152552,0.028204829,0.028497024,4.8569676e-05,1.3619707,573.8888888888889,0.12735297239075105,0.12735297239075105,1.0
2530000,0.06612741,0.023694191,0.024259213,4.7450078e-05,1.362147,326.8139534883721,1.2747283439745107,1.2747283439745107,1.0
2540000,0.094152205,0.038525403,0.023402888,4.6415276e-05,1.3622928,357.5263157894737,1.252989233060936,1.252989233060936,1.0
2550000,0.028598009,0.03188236,0.024457352,4.5358083e-05,1.3622804,216.23076923076923,1.6260442076600157,1.6260442076600157,1.0
2560000,-0.04140297,0.017401867,0.020958167,4.428848e-05,1.362292,574.3846153846154,0.42991216527298093,0.42991216527298093,1.0
2570000,0.009214878,0.017954426,0.024044001,4.3181688e-05,1.3623326,723.2105263157895,0.33314968658669386,0.33314968658669386,1.0
2580000,0.005832071,0.020888878,0.01816726,4.2132488e-05,1.3622962,646.1578947368421,0.3021365843872589,0.3021365843872589,1.0
2590000,-0.037609514,0.015003908,0.020636141,4.1004092e-05,1.3620377,136.2,1.8148623450251762,1.8148623450251762,1.0
2600000,-0.064224824,None,None,None,1.3619995,703.8571428571429,0.38916838320801617,0.38916838320801617,1.0
2610000,-0.015715096,0.012405308,0.03009561,3.9933275e-05,1.3618723,471.3333333333333,0.8886247379729563,0.8886247379729563,1.0
2620000,-0.01433172,0.02493474,0.022396237,3.88765e-05,1.3615034,159.8,1.5789197734789924,1.5789197734789924,1.0
2630000,-0.03627477,0.01647644,0.022105133,3.7819686e-05,1.3614236,1148.7777777777778,-0.9196116519613295,-0.9196116519613295,1.0
2640000,0.004119528,0.015307653,0.026136579,3.6729693e-05,1.3615458,515.4848484848485,0.6390747575413636,0.6390747575413636,1.0
2650000,0.02024041,0.026988747,0.021734867,3.5669287e-05,1.3615927,141.4,1.6324997488642112,1.6324997488642112,1.0
2660000,-0.028503867,0.01967428,0.027158398,3.4541292e-05,1.3614844,976.1111111111111,-0.5898115722941131,-0.5898115722941131,1.0
2670000,0.021202337,0.019517688,0.02087954,3.345729e-05,1.3613616,546.3333333333334,0.7340066559363863,0.7340066559363863,1.0
2680000,0.01945618,0.027839981,0.02611961,3.2392898e-05,1.3612969,133.0,1.6383297611027956,1.6383297611027956,1.0
2690000,0.023684576,0.025514659,0.03016335,3.1270894e-05,1.3611958,645.9705882352941,0.40670588767534355,0.40670588767534355,1.0
2700000,0.096506305,0.027822006,0.026780754,3.0162897e-05,1.3610672,907.8571428571429,-0.19025453036495796,-0.19025453036495796,1.0
2710000,0.0077714114,0.018743716,0.021449702,2.9072491e-05,1.361029,244.6,1.3559997607953846,1.3559997607953846,1.0
2720000,0.0054496913,0.020035189,0.022394603,2.8010496e-05,1.3611505,684.0666666666667,0.5838163597832641,0.5838163597832641,1.0
2730000,-0.024196211,None,None,None,1.3610052,705.6666666666666,0.23847242817282677,0.23847242817282677,1.0
2740000,-0.02932497,0.019042453,0.024988519,2.6871287e-05,1.3609816,570.8333333333334,0.585353871807456,0.585353871807456,1.0
2750000,0.055040892,0.019519517,0.023650115,2.5806088e-05,1.3610346,515.6315789473684,0.755089245687582,0.755089245687582,1.0
2760000,-0.037074134,0.022129886,0.018110342,2.4722083e-05,1.3610077,550.7142857142857,0.7697711778580144,0.7697711778580144,1.0
2770000,0.04618245,0.02425648,0.021412505,2.3646506e-05,1.3609405,662.375,0.35616217408642115,0.35616217408642115,1.0
2780000,0.05650232,0.03609676,0.021997642,2.2594895e-05,1.360882,450.46666666666664,0.9489198076267106,0.9489198076267106,1.0
2790000,0.03900975,0.022433197,0.025830418,2.156529e-05,1.3608773,520.8947368421053,0.3599796773865819,0.3599796773865819,1.0
2800000,0.0049339016,0.019863522,0.02159343,2.0498506e-05,1.3608791,292.8,1.5031897772132652,1.5031897772132652,1.0
2810000,0.013327175,0.026885146,0.020899244,1.9408099e-05,1.360797,289.6666666666667,1.1181947317090817,1.1181947317090817,1.0
2820000,-0.056324434,0.017597629,0.024082148,1.8372493e-05,1.3607665,1067.0,-0.7838449018696944,-0.7838449018696944,1.0
2830000,-0.05847449,0.010661791,0.017248238,1.730889e-05,1.3608133,314.1578947368421,1.1556068882470885,1.1556068882470885,1.0
2840000,0.0049846903,0.026286654,0.02408295,1.6268084e-05,1.3608717,607.9090909090909,0.8524404689669609,0.8524404689669609,1.0
2850000,-0.03077044,0.016584348,0.024204722,1.5228086e-05,1.3608798,580.3333333333334,0.5547130509784135,0.5547130509784135,1.0
2860000,-0.04584879,0.017937614,0.024407906,1.41741075e-05,1.3608649,523.6896551724138,0.540245520149862,0.540245520149862,1.0
2870000,-0.007387477,0.028446816,0.027222997,1.3094501e-05,1.360797,170.6,1.378026448531697,1.378026448531697,1.0
2880000,-0.08955784,0.015151725,0.018493725,1.2042895e-05,1.3607123,704.8461538461538,0.3734765522755109,0.3734765522755109,1.0
2890000,-0.09540117,None,None,None,1.3605505,433.1333333333333,0.9467597015667707,0.9467597015667707,1.0
2900000,-0.0071158,0.012265999,0.02430633,1.0995708e-05,1.3605149,1243.909090909091,-0.5196316921974358,-0.5196316921974358,1.0
2910000,-0.023250494,0.021752516,0.019311829,9.932893e-06,1.3605065,160.6,1.5894397780415601,1.5894397780415601,1.0
2920000,-0.035211347,0.017558586,0.023098787,8.824102e-06,1.3604846,509.1333333333333,0.8894797097658739,0.8894797097658739,1.0
2930000,-0.024055604,0.017841538,0.020554619,7.751701e-06,1.3604993,594.7894736842105,0.4958523820203386,0.4958523820203386,1.0
2940000,-0.021681938,0.029658085,0.022259269,6.7220885e-06,1.3605083,543.2666666666667,0.5727397468872368,0.5727397468872368,1.0
2950000,-0.0039750026,0.01655562,0.021138987,5.6820895e-06,1.360516,396.2413793103448,1.0281100806555357,1.0281100806555357,1.0
2960000,0.062262442,0.032508593,0.023559209,4.642895e-06,1.3605347,427.2352941176471,0.9424803639544295,0.9424803639544295,1.0
2970000,0.059153497,0.0469863,0.020251403,3.5876963e-06,1.360544,335.72727272727275,1.0297535882877686,1.0297535882877686,1.0
2980000,0.07397046,0.02033269,0.023677727,2.5112906e-06,1.3605608,437.5882352941176,0.9778178897298252,0.9778178897298252,1.0
2990000,0.030962756,0.036768537,0.02171115,1.4673036e-06,1.3605772,899.4615384615385,-0.08377427028735047,-0.08377427028735047,1.0
3000000,0.038319994,0.028706083,0.018553844,4.1650392e-07,1.3605815,298.13513513513516,1.0755815463366383,1.0755815463366383,1.0
