Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,4.484703,-0.031665977,1.4524574,0.023243608,0.00029782398,800.0,36.5357963712886,36.5357963712886,1.0
60000,4.479021,-0.04721801,1.2581877,0.026027579,0.00029726702,None,None,None,1.0
70000,4.470902,-0.10078069,1.7696522,0.025335832,0.00029672947,None,None,None,1.0
80000,4.4705114,-0.13186298,0.22940002,0.026737502,0.00029617906,1250.0,37.72192952269688,37.72192952269688,1.0
90000,4.4537864,-0.13097656,0.16281338,0.02519912,0.0002956216,None,None,None,1.0
100000,4.4431424,-0.10662409,0.75050914,0.018589372,0.00029510263,1506.0,45.742114264983684,45.742114264983684,1.0
110000,4.448447,-0.12187046,0.9416113,0.02604511,0.0002945266,None,None,None,1.0
120000,4.4636045,-0.05607463,None,None,None,None,None,None,1.0
130000,4.4534755,0.17392878,1.0173901,0.027791874,0.00029397625,1036.32,15.92477020691731,15.92477020691731,1.0
140000,4.445912,0.49196061,5.4410677,0.023727082,0.00029344874,None,None,None,1.0
150000,4.4521627,0.28316668,6.5448585,0.022725165,0.00029289842,None,None,None,1.0
160000,4.4433784,0.12730826,3.0170915,0.02340608,0.0002923608,None,None,None,1.0
170000,4.439828,0.053889513,0.2365922,0.019918231,0.0002918104,None,None,None,1.0
180000,4.4435496,0.071010195,0.508155,0.01624748,0.00029126002,1999.0,28.29597258917056,28.29597258917056,1.0
190000,4.4439335,0.0725027,0.7855721,0.02852163,0.000290732,None,None,None,1.0
200000,4.4509716,-0.027899766,1.0362254,0.027257029,0.0002901688,None,None,None,1.0
210000,4.4544015,-0.055805165,0.7801914,0.02226499,0.00028961521,1999.0,13.555895471014082,13.555895471014082,1.0
220000,4.442643,0.04690005,1.9525298,0.019458486,0.00028909938,1362.0,31.829605390434153,31.829605390434153,1.0
230000,4.4498954,0.020547017,1.7288134,0.029331194,0.0002885842,1999.0,19.970469297724776,19.970469297724776,1.0
240000,4.441688,0.071797155,2.5034373,0.026439605,0.00028804044,1710.5,34.80845496013353,34.80845496013353,1.0
250000,4.4262347,0.1421428,None,None,None,1999.0,24.11325296573341,24.11325296573341,1.0
260000,4.4114904,0.33744088,2.4588866,0.028191505,0.00028748682,1999.0,24.61941591003334,24.61941591003334,1.0
270000,4.38724,0.4757303,4.307661,0.024422878,0.00028695882,None,None,None,1.0
280000,4.406519,0.20707847,5.4274974,0.025800785,0.0002864212,None,None,None,1.0
290000,4.3934574,0.10056837,1.9391929,0.025078714,0.0002858708,None,None,None,1.0
300000,4.4167814,0.1164109,1.0359108,0.022884015,0.00028534603,None,None,None,1.0
310000,4.3873105,0.1360813,0.7403449,0.025898894,0.00028478281,1999.0,30.681190857067122,30.681190857067122,1.0
320000,4.3742237,0.17211911,3.4409468,0.02245794,0.00028422926,None,None,None,1.0
330000,4.383086,0.111968085,2.289385,0.026789647,0.00028369165,1239.0,40.32061892049387,40.32061892049387,1.0
340000,4.351031,0.16854335,4.778014,0.021070216,0.000283146,1659.0,34.069653109734645,34.069653109734645,1.0
350000,4.332493,0.15737422,6.013421,0.020861402,0.00028257963,1939.0,39.601569572114386,39.601569572114386,1.0
360000,4.2871513,0.09517969,8.319057,0.021801315,0.00028205483,1999.0,17.54044320937828,17.54044320937828,1.0
370000,4.334155,0.065125756,4.3694515,0.024105787,0.000281542,1849.0,31.99513006513007,31.99513006513007,1.0
