Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
760000,-0.09795528,0.009229808,0.022469815,0.00022487645,1.3828299,None,None,None,1.0
770000,-0.08315625,0.011831549,0.023779903,0.00022376522,1.3822314,1534.4782608695652,-1.5724237968858619,-1.5724237968858619,1.0
780000,-0.030585801,0.01869998,0.025758285,0.00022272723,1.3822564,None,-0.03190035270527005,-0.03190035270527005,1.0
790000,-0.10916891,0.021851467,0.02362155,0.00022162643,1.3809521,None,None,None,1.0
800000,-0.122376956,0.01916063,0.025929395,0.00022055962,1.3798821,1166.8181818181818,0.28611314214173367,0.28611314214173367,1.0
810000,0.03063453,0.037515692,0.056180336,0.00021946608,1.3806581,1028.2,0.42839950249763203,0.42839950249763203,1.0
820000,-0.042443655,0.024325965,0.023892807,0.00021835447,1.3824031,575.0,1.5616997814737261,1.5616997814737261,1.0
830000,-0.048869222,0.014219238,0.027036643,0.00021728563,1.3827493,1999.0,-1.8110007103532553,-1.8110007103532553,1.0
840000,-0.015081368,0.019499872,0.026584025,0.00021614645,1.3821789,1999.0,-1.999500647187233,-1.999500647187233,1.0
850000,-0.06279878,0.017244186,0.02126969,0.00021504566,1.3809907,None,None,None,1.0
860000,-0.09008853,0.011393947,0.028056895,0.00021402042,1.3796612,820.6,0.647499922849238,0.647499922849238,1.0
870000,-0.05902708,None,None,None,1.3793123,834.5555555555555,1.2459996236074302,1.2459996236074302,1.0
880000,-0.056398645,0.0101497155,0.023076436,0.0002129677,1.3795092,None,None,None,1.0
890000,-0.06586408,0.020321708,0.029451655,0.0002119373,1.3782285,1427.4,-0.5692005468474235,-0.5692005468474235,1.0
900000,-0.040831845,0.022829676,0.020221561,0.00021086723,1.3772634,1267.0,0.17803799806950757,0.17803799806950757,1.0
910000,-0.06122273,0.023596758,0.028716747,0.00020973085,1.3770459,951.0,0.3206996180582792,0.3206996180582792,1.0
920000,-0.01863502,0.024444453,0.020546827,0.00020861007,1.3771961,859.8,0.8494495639140951,0.8494495639140951,1.0
930000,-0.037785497,0.032977037,0.022643758,0.000207578,1.3772792,1515.0,0.08311063051223755,0.08311063051223755,1.0
