Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1820000,1.3420167,-0.1628251,1024.3333333333333,-0.22491682168199784,-0.22491682168199784,0.03072176,0.027355354,0.000118272095,1.0
1830000,1.3414909,-0.10231854,500.76,1.4791799510479904,1.4791799510479904,0.04759077,0.02403703,0.00011713647,1.0
1840000,1.3408614,-0.15252906,1578.6923076923076,-2.1535002539435832,-2.1535002539435832,0.054765634,0.031334538,0.000116062496,1.0
1850000,1.3402271,0.016704101,259.6,2.418100035411771,2.418100035411771,None,None,None,1.0
1860000,1.3405017,0.0360921,602.7777777777778,1.3773912990607484,1.3773912990607484,0.03570744,0.02475713,0.000114974486,1.0
1870000,1.3409044,0.00045812552,316.6666666666667,2.12068758802828,2.12068758802828,0.044128645,0.01974721,0.00011386566,1.0
1880000,1.3410347,0.04051949,621.8,1.052049907046603,1.052049907046603,0.055038568,0.021550326,0.00011282165,1.0
1890000,1.3399957,-0.0053323596,198.71428571428572,2.488857241455532,2.488857241455532,0.031378914,0.026932243,0.00011178925,1.0
1900000,1.3392799,-0.048363093,409.22222222222223,1.7274999346894522,1.7274999346894522,0.030035418,0.022437293,0.000110690475,1.0
1910000,1.3383274,0.015918031,279.8,2.116233382257633,2.116233382257633,0.016433088,0.023887953,0.00010966487,1.0
1920000,1.336874,0.07935923,1076.909090909091,-0.5610938330464705,-0.5610938330464705,0.045098726,0.025631113,0.00010862326,1.0
1930000,1.336104,0.022052715,571.6428571428571,1.2933332993028064,1.2933332993028064,0.060997643,0.029502004,0.0001075237,1.0
1940000,1.3357266,-0.048105266,773.4615384615385,0.7878460427119325,0.7878460427119325,0.038821273,0.016683128,0.000106444495,1.0
1950000,1.3355821,-0.024469083,None,None,None,0.032271598,0.019487945,0.000105302475,1.0
1960000,1.3357828,0.011479321,614.0,1.646631584946973,1.646631584946973,0.025775593,0.025956726,0.00010422647,1.0
1970000,1.335768,-0.0020365978,676.0909090909091,0.9219629127204556,0.9219629127204556,0.042023264,0.025418032,0.00010316489,1.0
1980000,1.3355908,0.015394363,675.2857142857143,0.8944285828079696,0.8944285828079696,0.046505906,0.02535104,0.00010203647,1.0
1990000,1.3348771,-0.007304261,255.28571428571428,2.8371112285660476,2.8371112285660476,None,None,None,1.0
2000000,1.3344256,0.022522109,480.2,1.5983401252143086,1.5983401252143086,0.04140522,0.025243433,0.000100973695,1.0
2010000,1.3341289,0.04117144,873.4,1.7479168431600556,1.7479168431600556,0.042129744,0.024583055,9.9940895e-05,1.0
2020000,1.3333544,0.15166862,264.4736842105263,1.7310652898487877,1.7310652898487877,0.05057639,0.021229489,9.888729e-05,1.0
2030000,1.3328547,0.07360579,390.1666666666667,1.908131646657191,1.908131646657191,0.05148978,0.020918546,9.7742886e-05,1.0
2040000,1.3319671,0.08455461,430.1578947368421,1.947708400786117,1.947708400786117,0.060710907,0.018591052,9.660009e-05,1.0
2050000,1.3309296,0.14923736,1109.0645161290322,-0.4082903917278013,-0.4082903917278013,0.04303074,0.018739441,9.55157e-05,1.0
2060000,1.3304013,0.0633095,223.64,2.4244000758820525,2.4244000758820525,0.07376278,0.017741444,9.441966e-05,1.0
2070000,1.330098,0.05960125,171.26666666666668,2.385160073740408,2.385160073740408,0.042431176,0.024309568,9.334928e-05,1.0
2080000,1.3294989,0.032295868,1057.857142857143,-0.022892958775628358,-0.022892958775628358,0.030336903,0.025441099,9.230009e-05,1.0
2090000,1.3292059,0.03749148,953.3333333333334,0.09057130930679184,0.09057130930679184,0.04472133,0.019842459,9.1243695e-05,1.0
2100000,1.3289132,0.13608521,383.89285714285717,1.9297069052699953,1.9297069052699953,0.06174301,0.022891095,9.021369e-05,1.0
2110000,1.3292737,0.13820243,175.32,2.4515400379244237,2.4515400379244237,0.068988375,0.02596914,8.9160465e-05,1.0
2120000,1.3291289,0.14883004,341.4,1.9659499970264733,1.9659499970264733,0.05433063,0.024436496,8.807007e-05,1.0
2130000,1.328632,0.023007665,435.8888888888889,1.7925834082707297,1.7925834082707297,0.05631642,0.024529481,8.700236e-05,1.0
2140000,1.3280357,0.1891587,361.6666666666667,1.9221250940845493,1.9221250940845493,None,None,None,1.0
2150000,1.3275366,0.012910284,1034.0588235294117,2.597250099340454,2.597250099340454,0.0685213,0.024250677,8.586729e-05,1.0
2160000,1.3277787,0.07188865,299.53333333333336,0.3201738385503869,0.3201738385503869,0.03505607,0.026304055,8.474007e-05,1.0
2170000,1.3274741,0.10462716,299.16,2.296540063749999,2.296540063749999,0.045021836,0.021934656,8.366125e-05,1.0
2180000,1.3270297,0.08517432,1012.1428571428571,-0.10860734680318274,-0.10860734680318274,0.052889183,0.024424417,8.258528e-05,1.0
2190000,1.3266549,0.118117325,243.6315789473684,2.5062895695262246,2.5062895695262246,0.037116963,0.02820396,8.15405e-05,1.0
2200000,1.3263422,0.11250892,577.5882352941177,1.186985298689893,1.186985298689893,0.053370968,0.026710985,8.045368e-05,1.0
2210000,1.3263564,0.043686505,None,None,None,0.06298496,0.016516078,7.9406884e-05,1.0
2220000,1.3267317,0.027212774,569.72,1.740100050100591,1.740100050100591,0.03404902,0.024345487,7.826408e-05,1.0
2230000,1.3266325,0.03895869,219.26666666666668,1.1520666237338446,1.1520666237338446,0.04752965,0.026721204,7.7172095e-05,1.0
2240000,1.3267941,-0.01807627,890.0,2.9207000479102136,2.9207000479102136,0.029470023,0.023810867,7.61393e-05,1.0
2250000,1.3267635,-0.074429266,844.0526315789474,0.260105136083439,0.260105136083439,0.015332586,0.027667807,7.5111304e-05,1.0
2260000,1.3264624,-0.02858992,431.0,1.9962632124140662,1.9962632124140662,None,None,None,1.0
2270000,1.3262087,0.006212451,260.3333333333333,2.1708501013577917,2.1708501013577917,0.039462276,0.021391096,7.399569e-05,1.0
2280000,1.3259499,-0.027656013,167.0,2.352149975800421,2.352149975800421,0.031203466,0.022856018,7.29125e-05,1.0
2290000,1.32575,-0.056576587,1165.1176470588234,-0.3315313583880197,-0.3315313583880197,0.026132392,0.02621795,7.179808e-05,1.0
2300000,1.3257192,0.056920536,1117.5,-0.3128335272582869,-0.3128335272582869,0.026264105,0.024383772,7.07565e-05,1.0
2310000,1.3257269,0.005795548,531.1304347826087,1.177947343320978,1.177947343320978,0.06938709,0.023591043,6.97229e-05,1.0
2320000,1.3256414,0.108270064,298.6666666666667,2.1280345796800124,2.1280345796800124,0.042305093,0.023547547,6.863688e-05,1.0
2330000,1.3255047,-0.013330665,1094.3125,-0.26688247645164237,-0.26688247645164237,0.047777046,0.024737881,6.760567e-05,1.0
2340000,1.3255165,0.03177974,739.8,0.3353000511415303,0.3353000511415303,0.02920184,0.024841921,6.648128e-05,1.0
2350000,1.325617,0.095201775,487.6666666666667,1.451241406909158,1.451241406909158,0.040311974,0.03236396,6.544819e-05,1.0
2360000,1.3255552,0.07686866,426.6521739130435,1.7550502430793131,1.7550502430793131,0.06286435,0.02103148,6.435128e-05,1.0
2370000,1.3253907,0.05392341,954.5555555555555,1.816666694306251,1.816666694306251,0.038999584,0.022662643,6.3200496e-05,1.0
2380000,1.3249109,0.029908998,383.0,0.8246315445591647,0.8246315445591647,0.048897427,0.014717445,6.217408e-05,1.0
2390000,1.324974,0.019255806,543.5714285714286,1.5787857106022005,1.5787857106022005,0.024522314,0.027546836,6.105148e-05,1.0
2400000,1.3249671,0.055120565,571.3076923076923,1.8087308544020813,1.8087308544020813,None,None,None,1.0
2410000,1.3248141,-0.003939869,583.8571428571429,1.2749443596435919,1.2749443596435919,0.039613087,0.026943399,5.9950882e-05,1.0
2420000,1.3245884,0.039336048,618.1304347826087,1.305946527028157,1.305946527028157,0.04311181,0.024437388,5.890169e-05,1.0
2430000,1.3242409,0.0139663415,516.6666666666666,1.27199997700518,1.27199997700518,0.042017102,0.017693285,5.784328e-05,1.0
