Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,-0.1527768,1.4247813,0.0032516844,0.027363954,0.0002994075,1799.1,-9.277778433428871,-9.277778433428871,1.0
60000,-0.12698527,1.4252968,0.005060716,0.028911522,0.0002992285,119.75,-3.4255002219239636,-3.4255002219239636,1.0
70000,-0.16249113,1.4244787,0.0081884125,0.023002833,0.00029907623,630.0,-2.1510000626246133,-2.1510000626246133,1.0
80000,-0.20833576,1.4226384,0.0048228493,0.026281213,0.00029891744,None,None,None,1.0
90000,-0.22575915,1.4218749,0.004572546,0.027652238,0.00029874197,None,None,None,1.0
100000,-0.28935054,1.4208896,None,None,None,1599.2,-9.200000631809235,-9.200000631809235,1.0
110000,-0.28159252,1.4189955,0.0036977793,0.020030042,0.00029855056,1620.2,-7.064417122926291,-7.064417122926291,1.0
120000,-0.26273647,1.4186451,0.0060849735,0.03344958,0.00029839936,708.0,-3.2871001780033113,-3.2871001780033113,1.0
130000,-0.28951886,1.4192115,0.007879959,0.030606512,0.00029824575,None,None,None,1.0
140000,-0.3585121,1.4162544,0.0043092226,0.019391414,0.00029809214,1436.0,None,None,1.0
150000,-0.33639032,1.4129633,0.0028879025,0.023818836,0.00029792084,1622.0,-6.691889272795783,-6.691889272795783,1.0
160000,-0.3485049,1.4115397,0.0038737503,0.028409207,0.00029776394,1512.5,-6.087667034731971,-6.087667034731971,1.0
170000,-0.334679,1.4096713,0.0066457414,0.024398716,0.00029761562,1077.1666666666667,-5.3330003548236125,-5.3330003548236125,1.0
180000,-0.35090345,1.4073082,0.006467403,0.02887305,0.00029746065,1112.0,-3.8953336079915366,-3.8953336079915366,1.0
190000,-0.36594462,1.4046155,0.0043686302,0.028952977,0.00029731338,876.0,-3.3810000816980996,-3.3810000816980996,1.0
200000,-0.3670036,1.4039644,0.0073474064,0.02032844,0.00029716516,1192.0,-0.26233311494191486,-0.26233311494191486,1.0
210000,-0.34353936,1.4031063,0.0045467755,0.024867954,0.0002970143,1012.8333333333334,-5.4778003747264545,-5.4778003747264545,1.0
220000,-0.2814476,1.4026425,0.0046895994,0.02450559,0.0002968647,1153.25,-3.75153359696269,-3.75153359696269,1.0
230000,-0.36219922,1.4020082,None,None,None,1999.0,-9.109445141421425,-9.109445141421425,1.0
240000,-0.3192452,1.4036752,0.004300736,0.026214909,0.00029671277,200.5,-0.3398333837588628,-0.3398333837588628,1.0
250000,-0.35476434,1.4032934,0.009006522,0.020157427,0.0002965638,1278.0,-3.85833361496528,-3.85833361496528,1.0
260000,-0.3639939,1.4019693,0.006238559,0.02151763,0.00029641032,1029.0,-5.7656671272383795,-5.7656671272383795,1.0
270000,-0.37403482,1.4004688,0.0045764563,0.028076507,0.00029625633,1303.6666666666667,-5.832143187522888,-5.832143187522888,1.0
280000,-0.3411332,1.4000467,0.0077699395,0.023415105,0.00029609058,715.6666666666666,-2.645363861864263,-2.645363861864263,1.0
290000,-0.36564893,1.3992448,0.007059923,0.03134013,0.00029593255,1764.0,-7.911500558257103,-7.911500558257103,1.0
300000,-0.30295643,1.399113,0.009190732,0.026543623,0.00029577353,1222.5,-5.262500315904617,-5.262500315904617,1.0
310000,-0.33770496,1.3991363,0.0076368395,0.025120746,0.0002956155,1999.0,-8.665667355060577,-8.665667355060577,1.0
320000,-0.35706532,1.3988427,0.0048919115,0.027366223,0.0002954639,976.0,-3.2153334518273673,-3.2153334518273673,1.0
330000,-0.3540805,1.3978269,0.004509998,0.021804927,0.00029530245,1305.1666666666667,-4.489444742600123,-4.489444742600123,1.0
340000,-0.31950864,1.3970406,0.011209551,0.026122274,0.0002951463,902.5,-3.8533336081438594,-3.8533336081438594,1.0
350000,-0.32616577,1.3963721,None,None,None,359.0,-0.12933323780695596,-0.12933323780695596,1.0
360000,-0.26842162,1.3962301,0.009126105,0.020046242,0.0002949992,1062.8333333333333,-4.261278060471846,-4.261278060471846,1.0
