Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
80000,-2.0271375,1.4247721,1999.0,-135.03846682035007,-135.03846682035007,1.0
90000,-2.211123,1.426415,1332.6666666666667,-162.27000505273992,-162.27000505273992,1.0
100000,-1.6889169,1.4263936,0.0,-32.682951918879496,-32.682951918879496,1.0
110000,-2.6006818,None,None,None,None,1.0
120000,-2.881277,1.425226,None,None,None,1.0
130000,-2.9215853,1.4230263,None,None,None,1.0
140000,-2.9277027,1.422969,None,None,None,1.0
150000,-3.0672069,1.4205209,None,None,None,1.0
160000,-3.241954,None,None,None,None,1.0
170000,-3.428791,1.4176388,1999.0,None,None,1.0
180000,-3.6741247,None,1999.0,-142.69636977802622,-142.69636977802622,1.0
190000,-3.618139,1.4187356,1999.0,-120.55905369349888,-120.55905369349888,1.0
200000,-3.7361698,1.4195478,None,-137.11600494384766,-137.11600494384766,1.0
210000,-4.1341267,1.421071,None,None,None,1.0
220000,-3.9853814,1.4212115,None,None,None,1.0
230000,-4.1694503,None,None,None,None,1.0
240000,-4.123788,1.4212826,None,None,None,1.0
250000,-4.1872735,1.4218299,None,None,None,1.0
260000,-4.373986,1.4224685,None,None,None,1.0
270000,-4.365643,1.423311,1999.0,-99.62667338053386,-99.62667338053386,1.0
280000,-4.4685364,None,1999.0,-107.88000597272601,-107.88000597272601,1.0
290000,-4.5377254,1.4237748,None,-109.69556151496039,-109.69556151496039,1.0
300000,-4.617548,None,None,None,None,1.0
310000,-4.7394667,1.4221882,None,None,None,1.0
320000,-4.645131,1.4230072,None,None,None,1.0
330000,-4.6719146,1.4230561,None,None,None,1.0
340000,-4.7864923,1.4284331,None,None,None,1.0
350000,-4.735469,None,None,None,None,1.0
360000,-4.848262,1.4295639,None,None,None,1.0
370000,-4.793821,1.4270629,1999.0,-99.44235969992245,-99.44235969992245,1.0
380000,-4.8767033,1.4269732,1999.0,-107.64909744262695,-107.64909744262695,1.0
390000,-4.83311,1.4279513,None,-100.68889533148871,-100.68889533148871,1.0
400000,-4.8535075,1.4296389,None,None,None,1.0
410000,-4.919235,1.4282771,None,None,None,1.0
420000,-4.8051567,None,None,None,None,1.0
430000,-4.8558474,1.4266756,None,None,None,1.0
440000,-4.8545337,1.4242442,None,None,None,1.0
450000,-4.8725286,1.4219841,None,None,None,1.0
460000,-4.9098396,1.4190189,1999.0,-99.96000671386719,-99.96000671386719,1.0
470000,-4.879869,None,1999.0,-99.64182489568537,-99.64182489568537,1.0
480000,-4.9214826,1.4187597,1999.0,-99.52762576511928,-99.52762576511928,1.0
490000,-4.9268193,1.4182833,None,-99.96000671386719,-99.96000671386719,1.0
500000,-4.9675245,1.4165983,None,None,None,1.0
510000,-4.954151,1.4158452,None,None,None,1.0
520000,-4.916398,1.4158155,None,None,None,1.0
530000,-4.9138956,1.4166902,None,None,None,1.0
540000,-4.96836,None,None,None,None,1.0
550000,-4.934302,1.4178705,None,None,None,1.0
560000,-4.9986606,1.4179423,1999.0,-114.31692974384015,-114.31692974384015,1.0
570000,-4.9423556,1.4179298,1999.0,-100.66857782999675,-100.66857782999675,1.0
580000,-4.9940987,1.4173573,None,-99.60286385672433,-99.60286385672433,1.0
590000,-5.034521,None,None,None,None,1.0
600000,-5.040279,1.4154626,None,None,None,1.0
610000,-4.9618998,1.414517,None,None,None,1.0
620000,-5.0018506,1.4144937,None,None,None,1.0
630000,-4.9558673,1.4114345,None,None,None,1.0
640000,-4.958599,None,None,None,None,1.0
650000,-4.966879,1.4073575,1999.0,None,None,1.0
660000,-4.9703884,None,1999.0,-99.6790975223888,-99.6790975223888,1.0
670000,-4.973455,1.4070276,1999.0,-99.83714948381696,-99.83714948381696,1.0
680000,-5.023144,1.4069461,None,-99.3600067138672,-99.3600067138672,1.0
690000,-4.9807076,1.4052886,None,None,None,1.0
700000,-5.058534,1.406716,None,None,None,1.0
710000,-4.94069,None,None,None,None,1.0
720000,-4.950319,1.4067271,None,None,None,1.0
730000,-5.0642104,1.4067212,None,None,None,1.0
740000,-4.9516606,1.4080725,None,None,None,1.0
750000,-5.0791965,1.4061947,1999.0,-121.25333997938368,-121.25333997938368,1.0
760000,-4.959093,None,1999.0,-99.4838162376767,-99.4838162376767,1.0
770000,-4.975523,1.4097263,None,-99.68222893608942,-99.68222893608942,1.0
780000,-5.0973682,None,None,None,None,1.0
790000,-5.0663447,1.4126871,None,None,None,1.0
800000,-4.9797444,1.413037,None,None,None,1.0
810000,-5.164198,1.4130707,None,None,None,1.0
820000,-4.9534187,1.4127645,None,None,None,1.0
830000,-5.1534944,None,None,None,None,1.0
840000,-4.957632,1.4110154,None,None,None,1.0
850000,-4.9741707,1.4122856,1999.0,-99.48941847857307,-99.48941847857307,1.0
860000,-5.108101,1.4123536,1999.0,-109.72182447260076,-109.72182447260076,1.0
870000,-4.9621553,1.4109921,None,-100.78445095486111,-100.78445095486111,1.0
880000,-4.9935136,1.4107943,None,None,None,1.0
890000,-4.974626,1.4104953,None,None,None,1.0
900000,-4.968639,None,None,None,None,1.0
910000,-4.9790993,1.4100734,None,None,None,1.0
920000,-4.957543,1.4095472,None,None,None,1.0
930000,-4.9822807,1.4058441,None,None,None,1.0
940000,-4.9831066,1.4053493,1999.0,-99.71000671386719,-99.71000671386719,1.0
950000,-4.9818177,None,1999.0,-99.59637035023083,-99.59637035023083,1.0
960000,-4.988839,1.4059374,1999.0,-99.4838162376767,-99.4838162376767,1.0
970000,-4.9964857,1.4073982,None,-99.96000671386719,-99.96000671386719,1.0
980000,-5.0001116,1.4077955,None,None,None,1.0
990000,-4.9573555,1.408187,None,None,None,1.0
1000000,-4.960412,1.4082016,None,None,None,1.0
1010000,-4.9784794,1.4056114,None,None,None,1.0
1020000,-4.9592605,None,None,None,None,1.0
1030000,-4.9813957,1.4031942,None,None,None,1.0
1040000,-4.972787,1.4015924,1999.0,-99.92000653193547,-99.92000653193547,1.0
1050000,-4.9749446,1.4015423,1999.0,-99.84572092692058,-99.84572092692058,1.0
1060000,-5.100169,1.396523,None,-99.56714957101005,-99.56714957101005,1.0
1070000,-4.9580812,None,None,None,None,1.0
1080000,-4.976116,1.3955516,None,None,None,1.0
1090000,-4.9889193,1.396738,None,None,None,1.0
1100000,-4.9775057,1.3967746,None,None,None,1.0
1110000,-5.009254,1.3972623,None,None,None,1.0
1120000,-4.9594917,None,None,None,None,1.0
1130000,-5.0351973,1.403004,1999.0,None,None,1.0
