Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,4.4967766,193.0,0.632746,4.004629619419575,4.004629619419575,1.0
20000,None,None,0.69718516,None,None,1.0
30000,4.490911,None,0.68047035,None,None,1.0
40000,4.490011,960.0,0.2869929,2.9619201719760895,2.9619201719760895,1.0
50000,None,None,0.525436,None,None,1.0
60000,4.487256,None,0.64230347,None,None,1.0
70000,4.4871078,None,0.32398385,None,None,1.0
80000,None,None,0.2921024,None,None,1.0
90000,4.4825687,None,0.37751615,None,None,1.0
100000,4.4797173,None,0.23970039,None,None,1.0
110000,4.480104,1999.0,0.12822625,-2.0265954168219316,-2.0265954168219316,1.0
120000,4.49728,1523.047619047619,0.16235004,-2.981378656896678,-2.981378656896678,1.0
130000,4.4753637,148.07407407407408,0.17391504,-0.6943031818202386,-0.6943031818202386,1.0
140000,4.474911,None,0.11439908,None,None,1.0
150000,4.471718,None,0.14815733,None,None,1.0
160000,4.472407,None,0.22553678,None,None,1.0
170000,4.472138,1999.0,-0.0039918358,-1.8799730092287064,-1.8799730092287064,1.0
180000,None,None,-0.043119058,None,None,1.0
190000,4.470201,None,0.110816054,None,None,1.0
200000,4.469986,None,-0.10262148,None,None,1.0
210000,None,None,-0.13784528,None,None,1.0
220000,4.468937,None,0.007078253,None,None,1.0
230000,4.466309,1999.0,-0.14724715,-2.7404408007860184,-2.7404408007860184,1.0
240000,None,1999.0,-0.1819376,-3.287546599195117,-3.287546599195117,1.0
250000,4.4932046,1999.0,-0.1034826,-3.3900157795710997,-3.3900157795710997,1.0
260000,4.4615097,1999.0,-0.17150486,-3.6881363292535148,-3.6881363292535148,1.0
270000,None,None,0.0046994947,None,None,1.0
280000,None,None,-0.054739773,None,None,1.0
290000,4.4551525,1999.0,-0.063276686,None,None,1.0
300000,4.454623,None,-0.18074487,-3.258280463516712,-3.258280463516712,1.0
310000,None,None,-0.16870391,None,None,1.0
320000,4.4579287,None,-0.13594918,None,None,1.0
