Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000000,4.3398194,1999.0,-0.16527659,-3.095088225603104,-3.095088225603104,1.0
1010000,None,1999.0,-0.26858124,-3.6636211843717668,-3.6636211843717668,1.0
1020000,4.344735,1999.0,-0.27175808,-3.49830645729195,-3.49830645729195,1.0
1030000,4.3278427,1999.0,-0.15170796,-3.4580800756812096,-3.4580800756812096,1.0
1040000,None,None,-0.07769841,None,None,1.0
1050000,4.2984424,None,-0.05876304,None,None,1.0
1060000,4.3316975,1999.0,-0.16581804,-3.845995232462883,-3.845995232462883,1.0
1070000,4.3258142,None,-0.18885528,None,None,1.0
1080000,4.364929,None,-0.18712775,None,None,1.0
1090000,4.3521805,1999.0,-0.16252066,-3.438585288822651,-3.438585288822651,1.0
1100000,4.3401017,1999.0,-0.23086402,-3.8798401206731796,-3.8798401206731796,1.0
1110000,4.326105,None,-0.2442437,None,None,1.0
1120000,4.333562,None,-0.21951532,None,None,1.0
1130000,4.345831,1999.0,-0.21868591,-3.97288449605306,-3.97288449605306,1.0
1140000,4.4529476,1999.0,-0.27990448,-2.7157367332415148,-2.7157367332415148,1.0
1150000,4.362459,None,-0.2706137,-4.31214710018214,-4.31214710018214,1.0
1160000,4.3535743,1999.0,-0.16528177,-3.5557300001382828,-3.5557300001382828,1.0
1170000,None,None,-0.06860341,None,None,1.0
1180000,4.3407,None,-0.08365113,None,None,1.0
1190000,4.3420415,1999.0,-0.22566119,-2.3291152864694595,-2.3291152864694595,1.0
1200000,4.3454676,None,-0.20765316,None,None,1.0
1210000,4.3400383,None,-0.20718768,None,None,1.0
1220000,4.344128,1999.0,-0.22108439,-3.5304736495018005,-3.5304736495018005,1.0
1230000,4.335312,None,-0.21187958,-3.666719824075699,-3.666719824075699,1.0
1240000,4.337556,None,-0.22823891,None,None,1.0
1250000,4.33876,1999.0,-0.2026093,-5.456560015678406,-5.456560015678406,1.0
1260000,4.3419867,1993.3225806451612,-0.22206604,-2.9046464539491215,-2.9046464539491215,1.0
1270000,4.4349546,1999.0,-0.2705332,-3.893589639947528,-3.893589639947528,1.0
1280000,4.3470364,None,-0.23348005,-3.519704839357963,-3.519704839357963,1.0
1290000,4.3414054,1999.0,-0.16445577,-3.9493603333830833,-3.9493603333830833,1.0
1300000,4.3282495,None,-0.09082045,None,None,1.0
1310000,4.339888,None,-0.12882559,None,None,1.0
1320000,4.3409815,1999.0,-0.20149283,-3.282540485262871,-3.282540485262871,1.0
1330000,4.3338804,None,-0.15309577,None,None,1.0
1340000,4.333287,None,-0.15444425,None,None,1.0
1350000,4.3497066,1999.0,-0.21790016,-3.8922776132822037,-3.8922776132822037,1.0
1360000,4.349204,None,-0.21013951,None,None,1.0
1370000,4.3301654,None,-0.20439786,None,None,1.0
1380000,4.3347926,1999.0,-0.18351203,-4.19086018204689,-4.19086018204689,1.0
1390000,4.3370547,1999.0,-0.22577013,-3.567263098699706,-3.567263098699706,1.0
1400000,4.4282036,1999.0,-0.23496956,-3.65024471282959,-3.65024471282959,1.0
1410000,4.3398075,1412.0,-0.19930847,-2.586345133682092,-2.586345133682092,1.0
1420000,4.3222485,1999.0,-0.09725608,-2.5252652168273926,-2.5252652168273926,1.0
1430000,4.3068843,None,-0.016401336,None,None,1.0
1440000,4.338485,None,-0.03909434,None,None,1.0
1450000,4.341486,1869.0,-0.16613634,-1.900530569255352,-1.900530569255352,1.0
1460000,4.3517394,None,-0.10763555,None,None,1.0
1470000,4.337254,None,-0.13444065,None,None,1.0
1480000,4.3374915,1715.5,-0.2017257,-2.3254002407193184,-2.3254002407193184,1.0
1490000,4.3411155,None,-0.16114001,None,None,1.0
1500000,4.340728,None,-0.18090992,None,None,1.0
1510000,4.3437834,1999.0,-0.17309505,-2.5192054510116577,-2.5192054510116577,1.0
1520000,4.357095,1999.0,-0.24935105,-3.7504590609494377,-3.7504590609494377,1.0
