Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3740000,1.1916695,160.41666666666666,0.40411904,2.5027059132561966,2.5027059132561966,1.0
3750000,1.1916208,224.7,0.31246462,2.2106129911638077,2.2106129911638077,1.0
3760000,1.191852,348.3333333333333,0.19707263,1.541263399939788,1.541263399939788,1.0
3770000,1.1927643,332.8181818181818,0.26781988,1.6541290860022269,1.6541290860022269,1.0
3780000,1.1922524,359.1666666666667,0.17797537,1.3170499786734582,1.3170499786734582,1.0
3790000,1.1918494,401.55555555555554,0.23442154,1.2859630639906283,1.2859630639906283,1.0
3800000,1.1915995,512.0,0.15643954,0.744375060002009,0.744375060002009,1.0
3810000,1.1906815,296.54545454545456,0.35469434,1.4154444620427158,1.4154444620427158,1.0
3820000,1.1884806,445.6,0.15361783,1.0368667165438334,1.0368667165438334,1.0
3830000,1.1862869,471.5,0.068186775,1.3436363610354336,1.3436363610354336,1.0
3840000,1.184045,379.5,0.12250746,1.1947369042195772,1.1947369042195772,1.0
3850000,1.1827033,268.57142857142856,0.12452298,1.9761053951163041,1.9761053951163041,1.0
3860000,1.1818919,612.0833333333334,0.31557527,-0.5378649223696541,-0.5378649223696541,1.0
3870000,1.1815156,346.6,0.30879873,1.3153871783926603,1.3153871783926603,1.0
3880000,1.1812145,237.07692307692307,0.2335537,2.1201539757924204,2.1201539757924204,1.0
3890000,1.1791172,416.6666666666667,0.23199894,0.8772963136434555,0.8772963136434555,1.0
3900000,1.178012,157.3,0.3127183,2.5439333875974017,2.5439333875974017,1.0
3910000,1.1772738,1031.3333333333333,0.049071528,-0.923933341105779,-0.923933341105779,1.0
3920000,1.1780287,376.125,0.13956112,0.4750369864481467,0.4750369864481467,1.0
3930000,1.1782206,288.7,0.22733556,2.0421786265713826,2.0421786265713826,1.0
3940000,1.1754732,265.25,0.20517826,1.634480162858963,1.634480162858963,1.0
3950000,1.1737049,411.125,0.111924894,1.4113201093673706,1.4113201093673706,1.0
